text,page_element_info
"Tap any word to see its definition instantly","Player / Tutorial Step 1 (mobile only)"
"Tap and hold a word for a quick peek","Player / Tutorial Step 2 (mobile only)"
"Tap this icon to see the full line translation.","Player / Tutorial Step 3 (mobile only)"
"Settings","Player / Settings icon alt text (mobile navbar)"
"Album art","Player / Album art alt text"
"SingoLing","Browse / Logo alt text"
"Help","HelpButton / Aria label"
"Favorited","Browse / Song list heart icon aria-label"
"More options","Browse / Song list three-dot menu aria-label"
"Back to all playlists","Browse / Back button aria-label"
"UI language","Browse / Language selector aria-label"
"Back","Settings page / Back button aria-label"
"Go to browse","Player / Browse button aria-label"
"Translation language","Player / Translation language selector aria-label"
"Song options","Player / Three-dot menu aria-label"
"Previous song","Player / Previous button aria-label"
"Next song","Player / Next button aria-label"
"Close inspector","LyricsPlayer / Inspector close button aria-label"
"Close","ReportModal / Close button aria-label"
"Describe the issue…","ReportModal / Textarea placeholder"
"Wrong translation","ReportModal / Category option"
"Wrong definition","ReportModal / Category option"
"Missing or incomplete data","ReportModal / Category option"
"Audio issue","ReportModal / Category option"
"Inappropriate content","ReportModal / Category option"
"Other","ReportModal / Category option"
"Thanks for letting us know!","ReportModal / Success title"
"We'll look into it and take care of it — your feedback helps make Singoling better for everyone.","ReportModal / Success message"
"Close","ReportModal / Success close button"
"Report a problem","ReportModal / Modal title"
"Category","ReportModal / Category label"
"Select a category…","ReportModal / Category select placeholder"
"Details","ReportModal / Details label"
"(optional)","ReportModal / Details label optional text"
"Something went wrong. Please try again.","ReportModal / Error message"
"Cancel","ReportModal / Cancel button"
"Sending…","ReportModal / Submit button sending state"
"Submit","ReportModal / Submit button"
"Could not load the playlists.","Browse / Empty state message"
"cd backend && uvicorn main:app --reload","Browse / Dev mode instruction"
"EN","Browse / Language selector option"
"TR","Browse / Language selector option"
"RU","Browse / Language selector option"
"ES","Browse / Language selector option"
"PT","Browse / Language selector option"
"DE","Browse / Language selector option"
"Platform","Account / Subscription platform label"
"Started","Account / Subscription started label"
"Expires","Account / Subscription expires label (cancel pending)"
"Renews","Account / Subscription renews label"
"Access","Account / Subscription access label"
"Lifetime","Account / Lifetime access value"
"Syncing...","Account / Sync button syncing state"
"✓ Synced","Account / Sync button success state"
"✗ Failed","Account / Sync button error state"
"Sync Subscription","Account / Sync button text"
"Refresh subscription status from Paddle","Account / Sync button helper text"
"With Premium you get:","Account / Premium features header"
"Manage Subscription","Account / Manage subscription section title"
"To update your payment method, billing information, or cancel your subscription, visit the Paddle billing portal.","Account / Manage subscription description"
"Open Billing Portal →","Account / Billing portal link"
"Legal","Settings / Legal section header"
"Terms of Service","Settings / Terms link text"
"Privacy Policy","Settings / Privacy link text"
"Loading song…","Player / Loading state text"
"Premium List","Browse / Premium playlist section header"
"Upgrade","Browse / Upgrade button (premium list)"
"Plan","Account / Subscription plan label suffix"
"Active","Account / Subscription status (active)"
"Past Due","Account / Subscription status (past due)"
"Canceled","Account / Subscription status (canceled)"
"Free Tier","Account / Subscription status (free tier)"
"Inactive","Account / Subscription status (inactive)"
"Upgrade","Account / Upgrade button"
"Payment system is loading. Please try again in a moment.","Subscriptions / Alert message (paddle loading)"
"Pricing information unavailable. Please try again later.","Subscriptions / Alert message (pricing unavailable)"
"Super fast and interactive translation along synced lyrics","Subscriptions / Feature list item 1"
"Curated songs for your level","Subscriptions / Feature list item 2"
"Instant definition lookups & quick keyboard shortcuts","Subscriptions / Feature list item 3"
"Instant full-line translations","Subscriptions / Feature list item 4"
"Unlimited songs in our whole library","Subscriptions / Feature list item 5"
"Translate to all language options for each playlist","Subscriptions / Feature list item 6"
"Loading pricing...","Subscriptions / Loading state"
"Back","Subscriptions / Back button (page mode)"
"Back","Subscriptions / Back button aria-label"
"Close","Subscriptions / Close button aria-label"
"Upgrade to Premium","Subscriptions / Page heading"
"Unlock unlimited interactive lyrics, translations, and word definitions across all songs","Subscriptions / Page subtitle"
"Monthly","Subscriptions / Monthly plan toggle button"
"Annual","Subscriptions / Annual plan toggle button"
"year","Subscriptions / Price period (annual)"
"month","Subscriptions / Price period (monthly)"
"Just {price}/month — Save {amount}/year","Subscriptions / Annual savings description (template)"
"Loading...","Subscriptions / Checkout button loading state"
"Pricing unavailable","Subscriptions / Checkout button disabled state"
"Start Learning Now","Subscriptions / Checkout button CTA"
"It lets you focus on fun while you get what you need instantly","Subscriptions / Features section heading"
